COUNTRATE ANALYSIS: round_21.ttbin
Integration Time: 600 s
Hardware Deadtime: 900000 ps
=================================================================
Ch   | Raw (Hz)        | Deadtime (Hz)   | Gated (Hz)     
-----------------------------------------------------------------
1    | 10393.2         | 10279.6         | 8432.0         
2    | 562.0           | 561.9           | 525.3          
3    | 7.7             | 7.7             | 1.3            
4    | 0.1             | 0.1             | 0.0            
5    | 0.0             | 0.0             | 0.0            
6    | 0.0             | 0.0             | 0.0            
7    | 0.0             | 0.0             | 0.0            
8    | 0.0             | 0.0             | 0.0            
9    | 29944.9         | 28443.2         | 23457.2        
10   | 2532.6          | 2528.2          | 2240.5         
11   | 100.3           | 100.3           | 93.6           
12   | 5.9             | 5.9             | 3.6            
13   | 0.4             | 0.4             | 0.0            
14   | 0.0             | 0.0             | 0.0            
15   | 0.0             | 0.0             | 0.0            
16   | 0.0             | 0.0             | 0.0            
17   | 14862.6         | 14619.8         | 13085.6        
18   | 352.1           | 352.1           | 331.1          
19   | 6.2             | 6.2             | 0.0            
20   | 0.0             | 0.0             | 0.0            
21   | 0.0             | 0.0             | 0.0            
22   | 0.0             | 0.0             | 0.0            
23   | 0.0             | 0.0             | 0.0            
24   | 0.0             | 0.0             | 0.0            
25   | 16224.7         | 16110.6         | 14260.3        
26   | 416.6           | 416.6           | 388.7          
27   | 8.8             | 8.8             | 1.9            
28   | 0.2             | 0.2             | 0.0            
29   | 0.0             | 0.0             | 0.0            
30   | 0.0             | 0.0             | 0.0            
31   | 0.0             | 0.0             | 0.0            
32   | 0.0             | 0.0             | 0.0            
-----------------------------------------------------------------
SUM  | 75418.3         | 73441.7         | 62821.2        
=================================================================
