COUNTRATE ANALYSIS: round_17.ttbin
Integration Time: 600 s
Hardware Deadtime: 900000 ps
=================================================================
Ch   | Raw (Hz)        | Deadtime (Hz)   | Gated (Hz)     
-----------------------------------------------------------------
1    | 10324.9         | 10212.7         | 8374.6         
2    | 560.8           | 560.4           | 528.1          
3    | 7.9             | 7.9             | 6.3            
4    | 0.2             | 0.2             | 0.0            
5    | 0.0             | 0.0             | 0.0            
6    | 0.0             | 0.0             | 0.0            
7    | 0.0             | 0.0             | 0.0            
8    | 0.0             | 0.0             | 0.0            
9    | 29771.0         | 28306.8         | 23305.0        
10   | 2558.6          | 2555.9          | 2275.5         
11   | 103.0           | 103.0           | 97.5           
12   | 5.2             | 5.3             | 3.1            
13   | 0.1             | 0.1             | 0.0            
14   | 0.0             | 0.0             | 0.0            
15   | 0.0             | 0.0             | 0.0            
16   | 0.0             | 0.0             | 0.0            
17   | 16244.8         | 15978.4         | 14275.7        
18   | 411.9           | 411.4           | 386.8          
19   | 7.8             | 7.7             | 2.3            
20   | 0.2             | 0.2             | 0.0            
21   | 0.0             | 0.0             | 0.0            
22   | 0.0             | 0.0             | 0.0            
23   | 0.0             | 0.0             | 0.0            
24   | 0.0             | 0.0             | 0.0            
25   | 18012.7         | 17877.7         | 15836.1        
26   | 501.2           | 500.5           | 463.3          
27   | 11.3            | 11.1            | 0.6            
28   | 0.1             | 0.1             | 0.0            
29   | 0.0             | 0.0             | 0.0            
30   | 0.0             | 0.0             | 0.0            
31   | 0.0             | 0.0             | 0.0            
32   | 0.0             | 0.0             | 0.0            
-----------------------------------------------------------------
SUM  | 78521.6         | 76539.6         | 65555.0        
=================================================================
